Name,DA,Website,Tags,Price,Submission
Producthunt,91,https://www.producthunt.com/,All Startups,Free,https://www.producthunt.com/posts/new
AI Infinity,91,https://aiinfinity-meetpatel.notion.site/AI-Infinity-AI-Tools-Directory-0da673c487124ea2b6f8ebe59b75a231,AI,Free,https://forms.gle/Ze6pdWzmweCfKWnLA
Devpost,86,https://devpost.com/software,Code projects,Free,https://devpost.com/software/new
BetaList,73,https://betalist.com/,All Startups,Free,https://betalist.com/submissions/new
AIToolGuru,21,https://aitoolguru.com/,AI,Free,https://aitoolguru.com/submit-ai-tool
grabon.in,67,https://www.grabon.in/,All Startups,Free,https://www.grabon.in/submit/
StartupStash,67,https://startupstash.com/,For Startups,Free,https://startupstash.com/add-listing/
StartupBuffer,38,https://startupbuffer.com/,All Startups,Free,https://startupbuffer.com/site/submit
TheresAnAIForThat,74,https://theresanaiforthat.com/,AI,$299.00 ,https://theresanaiforthat.com/
SaaSWorthy,72,https://www.saasworthy.com/,All Startups,Free,https://mailchi.mp/caea48b0c7ac/saasworthy-product-listing
SaaSHub,71,https://www.saashub.com/,All Startups,Free,https://www.saashub.com/services/submit
Futurepedia,70,https://www.futurepedia.io/,AI,Free,https://www.futurepedia.io/basic
SoftwareWorld,74,https://www.softwareworld.co/,All Startups,Free,https://www.softwareworld.co/get-listed/
LaunchingNext,48,https://www.launchingnext.com/,All Startups,Free,https://www.launchingnext.com/submit/
TheRundown,53,https://supertools.therundown.ai/,AI,Free,https://supertools.therundown.ai/submit
Top AI Tools,56,https://topai.tools/,AI,$45.00 ,https://topai.tools/?aff=b0bvn
ToolDirectory,51,https://tooldirectory.ai/,AI,Free,https://tooldirectory.ai/submit-tool
Dang,55,https://dang.ai/,AI,Free,https://dang.ai/
FutureTools,60,https://www.futuretools.io/,AI,Free,https://www.futuretools.io/submit-a-tool
T5,33,https://tools.robingood.com/,For Startups,Free,https://tools.robingood.com/
Join Secret,48,https://joinsecret.com/,SaaS,Free,https://www.joinsecret.com/saas-partnerships#partner_lead_form
Toolify,65,https://www.toolify.ai/,AI,$49.00 ,https://www.toolify.ai/submit
AIToolMall,46,https://aitoolmall.com/,AI,Free,https://aitoolmall.com/submit/
AIToolsDirectory,36,https://aitoolsdirectory.com/,AI,Free,https://aitoolsdirectory.com/submit-tool
EasyWithAI,54,https://easywithai.com/,AI,$79.00 ,https://easywithai.com/submit-tool/
Phygital,37,https://library.phygital.plus/,AI,Free,https://library.phygital.plus/tool-submission
UNeedBest,5,https://uneedbest.com/,AI,$15.00 ,https://uneedbest.com/your-best-tool
TopApps,34,https://topapps.ai/,AI,Free,https://topapps.ai/submit
AI Tools,35,https://aitools.fyi/,AI,$20.00 ,https://buy.stripe.com/bIY28ZcyDaTqbw4aEU
NocodeList,44,https://nocodelist.co/,AI,Free,https://nocodelist.co/submit
TipSeason,26,https://tipseason.com/ai-tools,AI,Free,https://tipseason.com/ai-tools/submit
AI Scout,37,https://aiscout.net/,AI,$20.00 ,https://aiscout.net/submit-listing/
AI Tool Hunt,45,https://www.aitoolhunt.com/,AI,$20.00 ,https://www.aitoolhunt.com/submit
AI Center,35,https://aicenter.ai/,AI,$5.00 ,https://aicenter.ai/products/submit
PostMake,31,https://postmake.io/,For Startups,Free,https://postmake.io/submit
AIValley,25,https://aivalley.ai/,AI,Free,https://aivalley.ai/submit-tool/
AI Top Tools,43,https://aitoptools.com/,AI,Free,https://aitoptools.com/login?redirect_to=submit
Victrays,23,https://victrays.com/,AI,Free,https://victrays.com/submit-ai-tool/
SaaSAITools,56,https://saasaitools.com/,AI,Free,https://saasaitools.com/submit/
Favird,26,https://favird.com/l/ai-tools-and-applications,AI,Free,https://favird.com/l/ai-tools-and-applications
Insidr,41,https://www.insidr.ai/ai-tools,AI,Free,https://www.insidr.ai/submit-tools/
GPTe,39,https://gpte.ai/,AI,$99.00 ,https://gpte.ai/submit-a-tool/
Do More,19,https://domore.ai/,AI,$30.00 ,https://domore.ai/submit-tool
AI Wizard,14,https://www.aiwizard.ai/,AI,_100.00,https://www.aiwizard.ai/submit
PoweredByAI,16,https://poweredbyai.app/,AI,Free,https://poweredbyai.app/submit-tool
AIPediaHub,5,https://aipediahub.com/,AI,$100.00 ,https://aipediahub.com/pricing/
GetByte,14,https://getbyte.tech/,Marketing,Free,https://www.getbyte.tech/listing/basic-product-details
IndieAI,2,https://www.indieai.co/,Marketing,Free,https://www.indieai.co/add-tool
TheAIGeneration,3,https://www.theaigeneration.com/,AI,Free,https://www.theaigeneration.com/add/
StartupBase,52,https://startupbase.io/,All Startups,Free,https://startupbase.io/submit
ToolScout,9,https://toolscout.ai/,AI,Free,https://toolscout.ai/submit
Launched,38,https://launched.io/,All Startups,Free,https://launched.io/SubmitStartup
AI Trendz,17,https://aitrendz.xyz/,AI,_29.00,https://aitrendz.xyz/submit-ai-link/
ToolPilot,48,https://www.toolpilot.ai/,AI,Free,https://www.toolpilot.ai/pages/submit-your-ai-tool
Startup AI Tools,7,https://www.startupaitools.com/,AI,Free,https://www.startupaitools.com/submit-ai-tools/
Tools.so,4,https://tools.so/,AI,Free,https://tools.so/submit
NextGenTool,12,https://nextgentool.io/,AI,Free,https://nextgentool.io/submit/
GPT Demo,13,https://www.gptdemo.net/,AI,Free,https://www.gptdemo.net/gpt/add-tool
AI Tools Directory,8,https://www.aitools.directory/,AI,Free,https://www.aitools.directory/contact
AIDirectory,10,https://www.aidirectory.org/,AI,Free,https://www.aidirectory.org/user-submit/
HumanAlternative,2,https://www.humanalternative.com/,Marketing,Free,https://launchin.co/unavailable
AITopRank,6,https://www.aitoprank.com/,AI,Free,https://www.aitoprank.com/pricing
Yo.directory,20,https://yo.directory/,AI,Free,https://yo.directory/
AI Hunt,8,https://aihunt.app/,AI,Free,https://aihunt.app/users/sign_up
OpenFuture,29,https://openfuture.ai/,AI,Free,https://openfuture.ai/submit-tool
FindCool.tools,3,https://findcool.tools/,AI,$1.00 ,https://findcool.tools/submit-tool
AI Spotter,2,https://aispotter.io/,AI,Free,https://launchin.co/unavailable
DevResourc.es,31,https://devresourc.es/,DevTools,Free,https://github.com/marcelscruz/dev-resources/blob/main/CONTRIBUTING.md
AIFinder,13,https://ai-finder.net/,AI,Free,https://ai-finder.net/add
First100Users,20,https://www.first100users.com/,Marketing,Free,https://www.first100users.com/submit
AI Search,16,https://ai-search.io/,Marketing,Free,https://ai-search.io/submit
MicroLaunch,28,https://microlaunch.net/,AI,Free,https://tally.so/r/mYaR6N
AIGC,28,https://aigclist.com/,AI,Free,https://aigclist.com/submit-ai-tools-free/
AIWikiTools,1,https://aiwikitools.com/,AI,Free,https://aiwikitools.com/submit-a-tool/
Alternate.tools,12,https://www.alternate.tools/,AI,$20.00 ,https://tally.so/r/3NoeVp
10Words,30,https://10words.io/,All Startups,Free,https://app.10words.io/submit
Startups.fyi,21,https://www.startups.fyi/,All Startups,Free,https://tally.so/r/3lOGLk
iLib,16,https://www.ilib.com/,AI,Free,https://www.ilib.com/dashboard/submissions/new
Appscribed,44,https://appscribed.com/,AI,$49.00 ,https://appscribed.com/product-list/
MadGenius,6,https://madgenius.co/,AI,$69.00 ,https://madgenius.co/submit
AIRegisters,4,https://airegisters.com/,AI,Free,https://airegisters.com/submit-listing/details/
NaNAI,34,https://nanai.tools/,AI,Free,https://nanai.tools/google/redirect
AIRadar,22,https://airadar.getinference.com/,AI,Free,https://airadar.getinference.com/
AffordHunt,21,https://www.affordhunt.com/,AI,Free,https://www.affordhunt.com/onesubmitai
Joinly,25,https://www.joinly.xyz/,For Startups,Free,https://www.joinly.xyz/
AIToolsUp,2,https://aitoolsup.com/,AI,Free,https://aitoolsup.com/submit-tool/
AI ToolBoard,18,https://aitoolboard.com/,AI,$75.00 ,https://aitoolboard.com/submit-ai-tool
AppsAndWebsites,21,https://appsandwebsites.com/,AI,Free,https://landing.mycloudmedia.co.uk/apps-and-websites-submit-ai-or-saas-tool/new-submission.html
AIHunter,11,https://ai-hunter.io/,AI,Free,https://ai-hunter.io/submit-a-tool/
StartupStage,22,https://startupstage.app/,AI,Free,https://startupstage.app/
Every AI,4,https://every-ai.com/,AI,Free,https://every-ai.com/submit-tool/
GPTForge,9,https://gptforge.net/,Marketing,Free,https://docs.google.com/forms/d/e/1FAIpQLSdttwE4QP8PqoDzh36Q5NUok3BdUe33thDCQ5dT_RNY2goWvQ/viewform
AIMarketing,7,https://aimarketing.directory/,AI,Free,https://aimarketing.directory/submit
