Name,Submission Link,DR,Pricing,Monthly Visits,link,Price
G2,https://www.g2.com/products/new,98,Free,3.2M,,
BasedTools,https://buy.stripe.com/5kA2ax0aD7b93bG3cc?ref=aidirectories,93,Paid,22000,https://basedtools.ai?ref=aidirectories,$59.00 
Source Forge,https://sourceforge.net/software/vendors/new?ref=aidirectori.es,92,Free,2.5M,,
AI Tools Neil Patel,https://aitools.neilpatel.com/submit/?ref=aidirectori.es,91,Free,6K,,
AI Infinity,https://forms.gle/Ze6pdWzmweCfKWnLA,90,Free,2K,,
Startup88, https://startup88.typeform.com/to/CRjWqM,88,Free,1000,,
FinancesOnline,https://financesonline.com/add-product/?ref=aidirectories,87,Free,1.5M,,
F6S,https://www.f6s.com/?ref=aidirectori.es,86,Free,1600000,https://www.f6s.com/?ref=aidirectori.es,
Your Story,https://eu.frms.link/g4juley/?ref=aidirecori.es,86,Free,"
8.5M",,
AppSumo,https://appsumo.com/,82,Paid,3.3M,https://appsumo.com/,
Crunchbase,https://www.crunchbase.com/add-new/?ref=aidirectori.es,80,Free,10M,https://www.crunchbase.com/?ref=aidirectori.es,
AlternativeTo,https://alternativeto.net/manage-item/?ref=aidirectori.es,80,Free,1.3M,,
Stackshare,https://stackshare.io/submit/?ref=aidirectories,79,Free,1.6M,,
Alternative,https://alternative.me/how-to/submit-software/,77,Free,2.0M,https://alternative.me/,
Webwiki,https://www.webwiki.com/info/add-website.html,77,Free,15K,,
Software Suggest,https://www.softwaresuggest.com/artificial-intelligence-software,77,,561000,https://www.softwaresuggest.com/,
EU Startups,https://www.eu-startups.com/directory/?wpbdp_view=submit_listing,76,Free,323K,https://www.eu-startups.com,
Digital Agency Network,https://digitalagencynetwork.com/join-free-listing-tools/,76,Free,528K,,
Product Hunt,https://www.producthunt.com/posts/new,75,Free,6.0M,https://www.producthunt.com/,
Software World,https://www.softwareworld.co/vendor/listing/create/,75,Free,65000,https://www.softwareworld.co/,
There is an AI for that,https://theresanaiforthat.com/get-featured/#opt_submit?via=aidirectories,74,Paid,3.2M,https://theresanaiforthat.com/?via=aidirectories,https://theresanaiforthat.com/get-featured/#submit_tool_info
Crozdesk,https://vendor.softwareselect.com/,74,,200K,https://crozdesk.com/,
SaasWorthy,https://www.saasworthy.com/offerings,72,Free,172000,,
Whatsthebigdata,https://whatsthebigdata.com/submit-new-ai-tool/,72,Paid,2.7M,,"Basic Listing $299, Featured Listing $599
"
Getlatka,https://getlatka.com/saas-companies?ref=aidirectories,71,Free,20000,,
Serchen,https://www.serchen.com/,71,Paid,129000,,$9.99 
Sitelike,https://www.sitelike.org/add-site/?ref=aidirectori.es,70,Free,1.3M,,
Beta List,https://betalist.com/submissions/new,70,Free,180k,https://betalist.com/,
SaasHub,https://www.saashub.com/submit,68,Free,1.6M,https://www.saashub.com/,
SideProjectors,https://www.sideprojectors.com,67,Free,52600,,
Startup Ranking,https://www.startupranking.com/startup/create/url-validation?ref=aidirectori.es,67,Free,25k,,
Startup Stash,https://startupstash.com/add-listing/,65,Paid,370K,https://startupstash.com/,$199/year and $399/year
Toolify.ai,https://www.toolify.ai/login?from=%2Fsubmit,64,Paid,340K,https://www.toolify.ai/,$99 
Submission Web Directory,https://www.submissionwebdirectory.com/submit.php,64,Free,10K,https://www.submissionwebdirectory.com/,
SoMuch,https://somuch.com/submit-links/,64,Free,10600,https://somuch.com/,
Pitchwall,https://pitchwall.co/product/submit?ref=aidirectories,64,Free,59000,,
All Top Startups,https://alltopstartups.com/submit-startup/,63,Paid,70K,https://alltopstartups.com/,$29 
Futurepedia,https://www.futurepedia.io/basic,62,Paid,5.0M,https://www.futurepedia.io/,
eBool,https://www.ebool.com/submit,61,Paid,25K,https://www.ebool.com/,$59 
Marketing Internet Directory,https://www.marketinginternetdirectory.com/submit.php,61,Free,,,
Dang AI,https://dang.ai/,60,Paid,32K,https://dang.ai/,
GPTs Hunter,https://www.gptshunter.com/submit-gpt?ref=aidirectori.es,59,Free,400000,https://www.gptshunter.com/?ref=aidirectori.es,
Top AI tools,https://topai.tools/submit?aff=8Mjlz,58,Paid,2M,https://topai.tools/,"Fast Track $45, Boosted $229 "
KitPloit,https://www.kitploit.com/p/submit-tool.html?ref=aidirectories,57,Free,2.5M,,
Afford Hunt,https://www.affordhunt.com/submit,56,Free,80k,https://www.affordhunt.com/,
Business Software,https://www.business-software.com/add-your-product/,55,Free,100K,https://www.business-software.com/,
Tekpon,https://tekpon.com/get-listed/,54,Paid,134K,,
AITOOLS,https://aitools.inc/submit,53,Free,,,
FiveTaco,https://fivetaco.com/submit,53,Free,106000,,
Dev Hunt,https://devhunt.org/account/tools/new,53,Paid,65K,,
Easy with AI,https://easywithai.com/submit-tool/,53,Paid,922k,https://easywithai.com/,$79.99 
