Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,First seen,Last seen,Source file
69,"Updates: Pentvars Newsletter, March 2021 Edition - Pentecost University",https://pentvars.edu.gh/updates-pentvars-newsletter-march-2021-edition/,https://banananano.ai/,nano banana,7861,116,True,False,True,2025-09-21,2026-03-13,banananano-ai-backlinks.csv
59,Welcome to Journal Blog,https://kybeledogal.com/blog/journal-blog,https://nanobanana.im/,https://nanobanana.im,6186,66,False,False,False,2026-02-14,2026-02-22,nanobanana-im-backlinks.csv
57,Best Leather Bags,https://dogscomfort.com/blog?journal_blog_post_id=11,https://nanobanana.im/,https://nanobanana.im,3459,81,False,False,False,2025-10-21,2025-10-21,nanobanana-im-backlinks.csv
56,La ruta de los verbos – Xentiquina 4º,https://edublog.educastur.es/xentiquinaconsandra/2021/04/30/la-ruta-de-los-verbos/,https://banananano.ai/,nano banana google,8110,9059,True,False,True,2026-03-12,2026-03-12,banananano-ai-backlinks.csv
55,Come Holy Spirit!,https://www.silverfishjewellery.co.uk/blog/Come-Holy-Spirit!,https://nanobanana.im/,https://nanobanana.im,2541,138,False,False,False,2025-11-07,2026-03-09,nanobanana-im-backlinks.csv
51,My Blog – My WordPress Blog,http://e-advantagesolutions.co.uk/,https://banananano.ai/,nano banana,35,38,False,False,False,2025-09-04,2025-10-02,banananano-ai-backlinks.csv
51,Traveling to Greece,https://sohooebike.com/blog/greece-travel,https://nanobanana.im/,https://nanobanana.im,2910,61,False,False,False,2025-10-21,2026-03-11,nanobanana-im-backlinks.csv
50,"CESPSI-PU, Melton Foundation, Philanthropy Ghana, and JoyNews Impact Awards Forge Strategic Alliance Through MoU Signing. - Pentecost University",https://pentvars.edu.gh/cespsi-pu-melton-foundation-philanthropy-ghana-and-joynews-impact-awards-forge-strategic-alliance-through-mou-signing/,https://banananano.ai/,google nano banana,11782,115,True,False,True,2025-09-22,2026-03-14,banananano-ai-backlinks.csv
50,Gerador de Posters no Estilo Pixar AI Gratuito Online | Creati.ai,https://creati.ai/pt/ai-tools/ai-pixar-posters/,https://nanobananas.ai/,,11,244,False,False,False,2025-12-18,2026-02-07,nanobananas-ai-backlinks.csv
47,Generador de Pósters Estilo Pixar AI Gratuito en Línea | Creati.ai,https://creati.ai/es/ai-tools/ai-pixar-posters/,https://nanobananas.ai/,,11,245,False,False,False,2025-12-21,2026-02-13,nanobananas-ai-backlinks.csv
45,My Blog – My WordPress Blog,http://seasidesuffolk.co.uk/,https://banananano.ai/,Gemini 3 Pro,41,37,False,False,False,2025-11-16,2025-11-30,banananano-ai-backlinks.csv
45,My Blog - My WordPress Blog,http://theundiscoveredstars.co.uk/,https://banananano.ai/,nano banana,790,1068,False,False,False,2025-12-01,2025-12-13,banananano-ai-backlinks.csv
45,My Blog – My WordPress Blog,http://theguernsey-shop.co.uk/,https://banananano.ai/,nano banana,29,38,False,False,False,2025-09-04,2025-11-04,banananano-ai-backlinks.csv
45,My Blog - My WordPress Blog,http://theundiscoveredstars.co.uk/,https://banananano.ai/,Gemini 3 Pro,790,1068,False,False,False,2025-12-01,2025-12-13,banananano-ai-backlinks.csv
45,My Blog – My WordPress Blog,http://retailanswers.co.uk/,https://banananano.ai/,nano banana,34,38,False,False,False,2025-09-04,2025-10-04,banananano-ai-backlinks.csv
45,My Blog – My WordPress Blog,http://armstrongpayrollsolutions.co.uk/,https://banananano.ai/,nano banana,32,38,False,False,False,2025-09-03,2025-11-08,banananano-ai-backlinks.csv
41,LMS WordPress plugin - DRC - Dabat Research Center,https://drc.uog.edu.et/lms-wordpress-plugin/,https://banananano.ai/,nano banana google,4683,55,True,False,True,2025-09-19,2025-09-19,banananano-ai-backlinks.csv
36,How hard do you have to hit a chicken to cook it? (2020) | Hacker News,https://news.ycombinator.com/item?id=45545965,https://showcase.nano-banana.ai/ai-generated/fal_nano-banana_33b3652b-bac6-45d4-9893-831145199189_1.jpg,https://showcase.nano-banana.ai/ai-generated/fal_nano-banana...,26,398,True,False,False,2025-10-31,2026-01-20,nano-banana-ai-backlinks.csv
34,My Blog – My WordPress Blog,http://www.affectiontodetail.co.uk/,https://banananano.ai/,nano banana,28,38,False,False,False,2025-10-16,2025-11-06,banananano-ai-backlinks.csv
34,My Blog – My WordPress Blog,http://www.affectiontodetail.co.uk/,https://banananano.ai/,Gemini 3 Pro,27,38,False,False,False,2025-11-06,2025-11-26,banananano-ai-backlinks.csv
34,"Making the March on Washington, August 28, 1963 – The JFK Library Archives: An Inside Look",https://jfk.blogs.archives.gov/2020/08/27/making-the-march-on-washington/,https://banananano.ai/,nano banana,39,61,True,False,True,2025-12-13,2026-03-05,banananano-ai-backlinks.csv
34,Show HN: Nano Banana AI Prompt Gallery | Hacker News,https://news.ycombinator.com/item?id=45590239,https://nanobananas.ai/banana-image-prompt,Show HN: Nano Banana AI Prompt Gallery,4,27,True,False,False,2025-12-01,2026-02-22,nanobananas-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://joinnew88.com/,http://banananano.ai/,nano banana,21,42,False,False,False,2026-01-06,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://hi88live.com/,http://banananano.ai/,google nano banana,18,42,False,False,False,2025-12-30,2026-01-28,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://hi88sport.com/,http://banananano.ai/,nano banana pro,16,42,False,False,False,2026-01-03,2026-02-01,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://hi88sport.com/,http://banananano.ai/,nano banana,16,42,False,False,False,2026-01-03,2026-02-01,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://joinnew88.com/,http://banananano.ai/,nano banana pro,21,42,False,False,False,2026-01-06,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://pokarbet789.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-29,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://online789pokar.com/,http://banananano.ai/,nano banana pro,21,43,False,False,False,2025-12-31,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://online789pokar.com/,http://banananano.ai/,google nano banana,21,43,False,False,False,2025-12-31,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betwin.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2026-01-04,2026-02-04,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://shbetbets.com/,http://banananano.ai/,nano banana pro,19,43,False,False,False,2025-12-28,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://shbetbets.com/,http://banananano.ai/,nano banana,19,43,False,False,False,2025-12-28,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://hi88live.com/,http://banananano.ai/,nano banana pro,18,42,False,False,False,2025-12-30,2026-01-28,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://casinopokarbet.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-29,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betwin.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2026-01-04,2026-02-04,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8bettips.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2025-12-31,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8bettips.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-31,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betsport.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2025-12-31,2026-01-28,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betsport.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-31,2026-01-28,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betgames.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2025-12-29,2026-02-05,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://f8betgames.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-29,2026-02-05,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://casinopokarclub.com/,http://banananano.ai/,google nano banana,20,42,False,False,False,2025-12-31,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://casinopokarbet.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2025-12-29,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://shbetgames.com/,http://banananano.ai/,nano banana,19,42,False,False,False,2025-12-29,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://789betgaming.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2025-12-30,2026-01-26,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://789betgaming.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2025-12-30,2026-01-26,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://shbetgames.com/,http://banananano.ai/,nano banana pro,19,42,False,False,False,2025-12-29,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://pokarbet789.com/,http://banananano.ai/,google nano banana,20,42,False,False,False,2025-12-29,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://sunwingames.com/,http://banananano.ai/,nano banana pro,20,43,False,False,False,2025-12-29,2026-02-03,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thecasinopokar.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2026-01-01,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thecasinopokar.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2026-01-01,2026-01-31,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thef8bet.com/,http://banananano.ai/,nano banana pro,18,42,False,False,False,2026-01-03,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thef8bet.com/,http://banananano.ai/,nano banana,18,42,False,False,False,2026-01-03,2026-02-02,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thehi88.com/,http://banananano.ai/,nano banana pro,20,42,False,False,False,2026-01-01,2026-02-06,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thehi88.com/,http://banananano.ai/,nano banana,20,42,False,False,False,2026-01-01,2026-02-06,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://thejun88.com/,http://banananano.ai/,google nano banana,21,42,False,False,False,2026-01-06,2026-01-29,banananano-ai-backlinks.csv
32,My Blog – My WordPress Blog,https://sunwingames.com/,http://banananano.ai/,nano banana,20,43,False,False,False,2025-12-29,2026-02-03,banananano-ai-backlinks.csv
31,Framtidsdrömmar | Michael Gill Nöjesguiden,https://blogg.ng.se/michael-gill/2014/01/framtidsdrommar,https://nanobanana.org/,Nano Banana Pro,2257,3834,True,False,False,2026-02-27,2026-03-15,nanobanana-org-backlinks.csv
29,"Fresher Party: Seniors Welcomed Juniors with Warmth and Enthusiasm – News – Mangalayatan University, Aligarh",https://news.mangalayatan.in/2022/12/27/fresher-party-seniors-welcomed-juniors-with-warmth-and-enthusiasm/,https://banananano.ai/,nano banana,10777,9938,True,False,True,2025-09-23,2025-09-23,banananano-ai-backlinks.csv
26,"Startup News Weekly: February 19, 2024 – NewCrop",https://old.newcroplive.com/video/startup-news-weekly-february-19-2024/,https://banananano.ai/,nano banana,50550,3872,False,False,False,2025-09-19,2025-10-12,banananano-ai-backlinks.csv
26,My Blog – My WordPress Blog,https://seasidesuffolk.co.uk/,https://banananano.ai/,Gemini 3 Pro,40,37,False,False,False,2025-11-15,2025-11-26,banananano-ai-backlinks.csv
23,yahoo+news - Yahoo Suchergebnisse,https://at.search.yahoo.com/mobile/s?b=8&ei=UTF-8&pz=7&q=yahoo%2Bnews&xargs=0,https://www.nano-banana.ai/,www.nano-banana.ai Nano Banana & Nano Banana Pro - Advanced AI Image Generator &...,10,34,False,False,False,2026-02-16,2026-02-16,nano-banana-ai-backlinks.csv
