name,site,dr,,traffic
G2,https://www.g2.com/products/new,98,Free,3.2M
Source Forge,https://sourceforge.net/software/vendors/new?ref=aidirectori.es,92,Free,2.5M
AI Tools Neil Patel,https://aitools.neilpatel.com/submit/?ref=aidirectori.es,91,Free,6K
AI Infinity,https://forms.gle/Ze6pdWzmweCfKWnLA,90,Free,2K
Startup88,https://startup88.typeform.com/to/CRjWqM,88,Free,1000
FinancesOnline,https://financesonline.com/add-product/?ref=aidirectories,87,Free,1.5M
F6S,https://www.f6s.com/?ref=aidirectori.es,86,Free,1600000
Your Story,https://eu.frms.link/g4juley/?ref=aidirecori.es,86,Free,
8.5M,,,,
AlternativeTo,https://alternativeto.net/manage-item/?ref=aidirectori.es,80,Free,1.3M
Crunchbase,https://www.crunchbase.com/add-new/?ref=aidirectori.es,80,Free,10M
Stackshare,https://stackshare.io/submit/?ref=aidirectories,79,Free,1.6M
Webwiki,https://www.webwiki.com/info/add-website.html,77,Free,15K
Alternative,https://alternative.me/how-to/submit-software/,77,Free,2.0M
Digital Agency Network,https://digitalagencynetwork.com/join-free-listing-tools/,76,Free,528K
EU Startups,https://www.eu-startups.com/directory/?wpbdp_view=submit_listing,76,Free,323K
Software World,https://www.softwareworld.co/vendor/listing/create/,75,Free,65000
Product Hunt,https://www.producthunt.com/posts/new,75,Free,6.0M
SaasWorthy,https://www.saasworthy.com/offerings,72,Free,172000
Getlatka,https://getlatka.com/saas-companies?ref=aidirectories,71,Free,20000
Sitelike,https://www.sitelike.org/add-site/?ref=aidirectori.es,70,Free,1.3M
Beta List,https://betalist.com/submissions/new,70,Free,180k
SaasHub,https://www.saashub.com/submit,68,Free,1.6M
SideProjectors,https://www.sideprojectors.com,67,Free,52600
Startup Ranking,https://www.startupranking.com/startup/create/url-validation?ref=aidirectori.es,67,Free,25k
Pitchwall,https://pitchwall.co/product/submit?ref=aidirectories,64,Free,59000
Submission Web Directory,https://www.submissionwebdirectory.com/submit.php,64,Free,10K
SoMuch,https://somuch.com/submit-links/,64,Free,10600
Marketing Internet Directory,https://www.marketinginternetdirectory.com/submit.php,61,Free,
GPTs Hunter,https://www.gptshunter.com/submit-gpt?ref=aidirectori.es,59,Free,400000
KitPloit,https://www.kitploit.com/p/submit-tool.html?ref=aidirectories,57,Free,2.5M
Afford Hunt,https://www.affordhunt.com/submit,56,Free,80k
Business Software,https://www.business-software.com/add-your-product/,55,Free,100K
AITOOLS,https://aitools.inc/submit,53,Free,
FiveTaco,https://fivetaco.com/submit,53,Free,106000
uneed,https://www.uneed.best/submit-a-tool,52,Free,
Launching Next,https://www.launchingnext.com/submit/,51,Free,13000
Tool Pilot,https://www.toolpilot.ai/pages/submit-your-ai-tool,51,Free,600K
,,,,
,,,,
Startup Base,https://startupbase.io/submissions/start?ref=aidirectori.es,50,Free,3000
TechPluto,https://www.techpluto.com/submit-startup?ref=aidirectori.es,47,Free,
EZWeb Directory,http://ezwebdirectory.com/item/new,47,Free,3500
Ismailblogger,https://ismailblogger.com/submit-tools/?ref=aidirectori.es,46,Free,10K
Future Tools,https://www.futuretools.io/submit-a-tool,44,Free,3.0M
Hacker News,https://hackernews.com/,44,Free,300K
StartupTracker,https://startuptracker.io/crowdsourcing/,44,Free,12500
Tiny Startups,https://tally.so/r/wMzP8X,44,Free,10000
100L5,https://10015.io/product-finder/submit,41,Free,
Insidr AI,https://www.insidr.ai/submit-tools/,40,Free,150k
